TP1;TIRA;TP2;ECH;PER;NDEP;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;TOIS;TDIS;TDIP;TDMO;TDMD;TFIN
4;001;005;067;01;04;1;00;21;035006;003001;02;1;2;2;3;03;4735;6341;6341;0;133;0
4;001;005;085;01;01;1;05;21;003005;027010;00;1;2;2;3;00;4043;5385;5385;333;0;0
4;001;005;085;01;02;1;00;21;027010;028004;00;1;1;1;2;00;2316;3477;3477;0;0;0
4;001;005;085;01;03;1;00;21;028004;019004;00;1;1;3;2;00;6963;17695;17695;0;0;0
4;001;005;085;01;04;1;00;21;019004;011006;00;1;1;3;2;00;6935;12499;12499;0;0;0
4;001;005;085;01;05;1;00;21;011006;028004;00;1;1;1;2;00;1858;2459;2459;0;0;0
4;001;005;085;01;06;1;00;21;028004;027010;00;1;1;2;3;00;2316;3309;3309;0;0;0
4;001;005;085;01;07;1;00;21;027010;003005;06;1;2;2;3;00;4043;5738;5738;0;400;0
4;001;005;085;02;01;1;04;21;003005;006006;00;2;2;2;3;02;2057;2775;2775;267;0;0
4;001;005;085;02;02;1;00;21;006006;003005;04;2;2;1;3;00;2057;2807;2807;0;267;0
4;001;005;087;01;02;1;03;31;003016;004003;05;;;;;;925;1387;1387;200;333;0
4;001;005;087;01;03;1;05;31;004002;003015;03;;;;;;692;1038;1038;333;200;0
4;001;005;087;02;01;1;05;32;002005;009006;05;;;;;;670;1005;1005;333;333;0
4;001;005;087;02;04;1;05;32;009006;003001;10;;;;;;762;1142;1142;333;667;0
4;001;005;087;03;01;2;00;32;003001;001011;02;;;;;;961;1442;1442;0;133;0
4;001;005;087;03;01;1;05;32;002004;003001;00;;;;;;376;564;564;333;0;0
4;001;005;087;03;02;2;00;32;003001;002004;05;;;;;;376;564;564;0;333;0
4;001;005;087;03;02;1;02;32;001011;003001;00;;;;;;961;1442;1442;133;0;0
4;001;005;108;01;01;1;05;51;003551;117008;10;;;;;;46443;69665;47888;333;667;0
4;001;005;108;01;04;1;10;51;117008;003551;05;;;;;;46443;69665;48737;667;333;0
4;001;005;114;01;01;1;02;21;002005;032014;00;1;1;3;2;00;8997;12900;12900;133;0;0
4;001;005;114;01;04;1;00;21;032014;002005;02;1;1;4;3;00;8997;12547;12547;0;133;0
4;001;005;143;01;01;2;01;22;913004;913004;00;;;;;;7637;13747;0;67;0;0
4;001;005;143;01;01;1;10;51;003551;913004;01;;;;;;64419;96629;28899;667;67;0
4;001;005;143;01;02;1;00;22;913004;913004;00;;;;;;7637;13747;0;0;0;0
4;001;005;143;01;03;1;00;22;913004;913004;00;;;;;;7637;13747;0;0;0;0
4;001;005;143;01;03;2;00;51;913004;003551;10;;;;;;64419;96629;28613;0;667;0
4;001;005;157;01;01;2;13;21;013006;011009;01;1;1;2;2;03;1884;2635;2635;867;67;0
