PP1;TIRA;PP2;ECH;PER;DATE;PENQ;JOURDEP;P2;P3;P4;P7;P8;P9;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24A;P11A;P25;P26;PL27;PL28;P12A;P12B;P12C;P12D;P12E;P12F;P1;COE1;COEP;DP13;PFIN
2;067;007;091;03;010414;1;1;1;3;17;3;0;5;5;075351;;;;1;5;5;1;1;5;7;1;;5;1;4;4;1;4;4;;1;61.99322;61.99322;9919;0
2;067;007;091;01;010414;1;1;1;1;44;1;3;1;5;888888;;;;2;5;5;1;5;5;2;1;1;5;5;4;4;4;4;4;;1;80.19468;80.19468;0;0
2;067;007;091;02;010414;1;1;2;2;41;1;5;1;5;888888;;;;2;5;5;1;5;5;4;1;1;5;5;4;4;4;4;4;;1;80.19468;80.19468;0;0
2;067;008;019;03;281113;2;3;1;3;02;;;;;;;;;;;;;;;0;;;;;;;;;;;1;86.73765;;0;0
2;067;008;025;04;141213;2;5;1;3;03;;;;;;;;;;;;;;;0;;;;;;;;;;;1;62.64610;;0;0
2;067;008;041;01;210314;1;4;1;1;37;1;2;6;;;;;;2;5;5;1;3;5;6;1;;5;5;4;4;4;4;4;;1;74.85901;74.85901;0;0
2;067;008;041;02;210314;1;4;2;2;32;1;2;2;2;;;;;1;5;5;1;2;5;2;1;6;5;5;4;4;4;4;4;;1;74.85901;74.85901;0;0
2;067;008;041;06;210314;2;4;2;3;02;;;;;;;;;;;;;;;0;;;;;;;;;;;1;38.93920;;0;0
2;067;008;070;02;080114;2;2;2;3;04;;;;;;;;;;;;;;;0;;;;;;;;;;;1;56.12677;;0;0
2;067;008;094;03;020414;2;2;2;3;00;;;;;;;;;;;;;;;0;;;;;;;;;;;1;86.73765;;0;0
2;067;008;094;02;020414;1;2;2;2;41;1;6;1;5;122015;1;3;;1;5;5;1;5;4;3;1;1;5;5;4;4;4;4;4;;1;111.0348;111.0348;12285;0
2;067;008;019;01;281113;1;3;2;2;33;1;5;1;5;023005;1;3;;1;5;5;1;2;5;3;1;1;5;5;4;4;4;4;4;;1;166.7496;166.7496;21651;0
2;067;008;094;01;020414;1;2;1;1;43;1;6;1;5;034002;1;3;;2;5;5;1;5;5;3;1;1;5;5;4;4;4;4;4;;1;111.0348;111.0348;18220;0
2;067;008;070;01;080114;1;2;2;1;27;1;2;2;5;034005;1;3;;1;2;5;1;5;5;5;1;1;5;5;4;4;4;4;4;;1;107.9014;107.9014;18801;0
2;067;008;095;03;280314;1;4;1;3;16;2;0;5;5;041005;;;;;;;;;;7;2;;;;4;4;4;4;4;;2;61.99322;61.99322;26479;0
2;067;008;019;02;281113;1;3;1;1;30;1;5;1;5;057002;1;3;;1;5;5;1;5;5;4;1;6;5;5;4;4;4;4;4;;1;166.7496;166.7496;26382;0
2;067;008;025;03;141213;1;5;2;3;06;2;0;5;5;067008;;;;2;5;5;5;1;5;7;1;;5;5;4;4;4;4;4;;1;130.1927;130.1927;363;0
2;067;008;041;04;210314;1;4;2;3;07;2;0;5;5;067008;;;;1;5;5;5;2;5;7;1;;5;5;4;4;4;4;4;;1;80.92441;80.92441;363;0
2;067;008;041;05;210314;1;4;2;3;05;2;0;5;5;067008;;;;1;5;5;5;2;5;7;1;;5;5;4;4;4;4;4;;1;80.92441;80.92441;363;0
2;067;008;041;03;210314;1;4;1;3;13;2;0;5;5;067010;;;;1;5;5;5;2;5;7;1;;5;5;4;4;4;4;4;;1;38.53339;38.53339;587;0
2;067;008;025;02;141213;1;5;2;2;44;1;2;1;5;070451;1;3;;5;5;5;1;5;5;5;1;1;5;5;4;4;4;4;4;;1;80.19468;80.19468;3546;0
2;067;008;095;01;280314;1;4;1;1;52;1;2;1;5;072004;1;3;;1;5;5;1;5;5;4;1;1;5;5;4;4;4;4;4;;1;80.19468;80.19468;10526;0
2;067;008;095;04;280314;1;4;2;3;13;2;0;5;5;073004;;;;1;5;5;5;3;5;7;1;;5;1;4;4;3;4;4;;1;61.99322;61.99322;10036;0
2;067;008;095;02;280314;1;4;2;2;45;1;2;1;5;074004;1;3;;1;5;5;1;5;5;2;1;1;5;5;4;4;4;4;4;;1;80.19468;80.19468;10347;0
2;067;008;025;01;141213;1;5;1;1;57;1;3;1;3;888888;;;;2;5;5;1;5;5;4;1;1;5;5;4;4;4;4;4;;1;122.8141;122.8141;0;0
2;067;010;021;03;031213;1;1;1;3;32;1;4;6;;;;;;2;5;5;1;5;5;6;1;;5;5;4;4;4;4;4;;1;74.85901;74.85901;0;0
2;067;010;058;01;031213;1;1;1;1;86;1;1;7;;;;;;1;5;5;1;5;4;6;1;;5;5;4;4;4;4;4;;1;53.72835;53.72835;0;0
2;067;010;058;02;031213;1;1;2;2;84;1;2;7;;;;;;1;5;5;5;1;4;5;1;;5;5;4;4;4;4;4;;1;53.72835;53.72835;0;0
2;067;010;080;01;180114;1;5;2;1;36;2;2;8;;;;;;1;5;5;5;3;2;9;1;;5;2;1;1;1;1;1;3;1;74.85901;74.85901;0;0
2;067;010;080;05;180114;2;5;2;3;03;;;;;;;;;;;;;;;0;;;;;;;;;;;1;38.93920;;0;0
2;067;010;080;06;180114;2;5;2;3;02;;;;;;;;;;;;;;;0;;;;;;;;;;;1;38.93920;;0;0
2;067;010;089;01;300114;1;3;1;1;40;1;3;6;;;;;;1;5;5;1;4;4;6;1;;5;5;4;4;4;4;4;;1;80.19468;80.19468;0;0
2;067;010;089;02;300114;1;3;2;2;29;1;5;8;;;;;;1;5;5;1;4;4;4;1;;5;5;4;4;4;4;4;;1;120.4345;120.4345;0;0
2;067;010;089;04;300114;2;3;2;3;01;;;;;;;;;;;;;;;0;;;;;;;;;;;1;62.64610;;0;0
2;067;010;111;01;270214;1;3;1;1;83;1;9;7;;;;;;4;5;5;1;5;5;4;2;;5;5;4;4;4;4;4;;1;53.72835;53.72835;0;0
2;067;010;111;02;270214;1;3;2;2;81;2;2;7;;;;;;4;5;5;5;1;5;5;2;;5;5;4;4;4;4;4;;1;53.72835;53.72835;0;0
2;067;010;116;02;210314;1;4;2;2;36;1;8;8;;;;;;2;3;5;2;2;5;9;2;;5;5;4;4;4;4;4;;1;74.85901;74.85901;0;0
2;067;010;116;05;210314;2;4;2;3;04;;;;;;;;;;;;;;;0;;;;;;;;;;;1;38.93920;;0;0
2;067;010;116;06;210314;2;4;1;3;02;;;;;;;;;;;;;;;0;;;;;;;;;;;1;38.93920;;0;0
2;067;010;117;01;220314;1;5;2;1;85;2;9;7;;;;;;2;5;5;5;2;5;6;2;;5;5;4;4;4;4;4;;1;39.34549;39.34549;0;0
2;067;010;076;02;080114;1;2;1;1;47;1;6;1;4;025011;3;;3;5;5;1;5;4;5;3;1;1;5;5;4;4;4;4;4;;1;80.19468;80.19468;23807;0
