id_zone;geo_code
103004;34032
104001;34032
104002;34032
104003;34032
105001;34032
105002;34032
105003;34032
106001;34032
106002;34032
106003;34032
106004;34032
107001;34032
107002;34032
107003;34032
107004;34032
107005;34032
108001;34032
108002;34032
108003;34032
108004;34032
108005;34032
108006;34032
108007;34032
108008;34032
108009;34032
108010;34032
109001;34140
109002;34084
109003;34084
109004;34084
109005;34139
109006;34139
109007;34139
109008;34139
109009;34139
109010;34025
109011;34025
109012;34025
109013;34025
110001;34094
110002;34300
110003;34300
110004;34300
110005;34300
110006;34300
110007;34037
110008;34037
110009;34037
111001;34298
111002;34298
111003;34298
111004;34298
111005;34298
111006;34336
111007;34336
111008;34336
111009;34336
111010;34336
111011;34336
111012;34336
111013;34336
111014;34336
111015;34336
111016;34073
111017;34073
111018;34073
111019;34073
111020;34073
111021;34073
112001;34324
112002;34324
112003;34324
112004;34324
112005;34324
112006;34324
112007;34324
112008;34324
112009;34324
112010;34299
112011;34299
112012;34299
112013;34299
112014;34299
112015;34299
112016;34299
112017;34299
112018;34299
112019;34299
113001;34329
113002;34329
113003;34329
113004;34329
113005;34329
113006;34329
113007;34135
113008;34135
113009;34135
113010;34135
113011;34135
113012;34135
113013;34135
113014;34183
113015;34183
113016;34183
113017;34183
113018;34183
113019;34183
113020;34183
114001;34081
114002;34081
114003;34081
114004;34081
114005;34081
114006;34161
114007;34161
114008;34161
114009;34155
114010;34155
114011;34155
115001;34069
115002;34069
115003;34069
115004;34069
115005;34069
115006;34069
115007;34069
115008;34069
115009;34148
115010;34148
115011;34148
115012;34148
115013;34148
115014;34148
115015;34148
115016;34148
115017;34148
115018;34148
115019;34148
115020;34148
116001;34224
116002;34085
116003;34001
116004;34001
116005;34001
116006;34009
116007;34009
116008;34009
116009;34009
116010;34311
116011;34311
116012;34311
116013;34311
116014;34311
116015;34325
116016;34325
116017;34166
116018;34166
116019;34166
117001;34003
117002;34003
117003;34003
117004;34003
117005;34003
117006;34003
117007;34003
117008;34003
118001;34003
118002;34003
118003;34003
118004;34003
119001;34003
119002;34003
119003;34003
119004;34003
119005;34003
119006;34003
119007;34003
119008;34003
119009;34003
119010;34003
119011;34003
119012;34003
119013;34003
119014;34003
119015;34003
119016;34003
119017;34003
119018;34003
119019;34003
119020;34003
119021;34003
119022;34003
119023;34003
119024;34003
119025;34003
119026;34003
119027;34003
120001;34332
120002;34332
120003;34332
120004;34332
120005;34332
120006;34332
120007;34332
120008;34332
120009;34332
120010;34332
120011;34332
120012;34332
120013;34332
120014;34332
120015;34332
120016;34332
120017;34209
120018;34209
120019;34209
120020;34209
120021;34209
120022;34209
120023;34209
120024;34209
120025;34209
121001;34182
121002;34056
121003;34056
121004;34203
121005;34203
121006;34207
121007;34207
121008;34207
121009;34207
121010;34207
121011;34207
121012;34101
121013;34101
121014;34101
121015;34101
121016;34101
121017;34101
121018;34031
121019;34031
121020;34031
121021;34031
121022;34031
121023;34031
121024;34031
121025;34289
121026;34289
121027;34289
122001;34002
122002;34184
122003;34184
122004;34136
122005;34136
122006;34136
122007;34068
122008;34068
122009;34017
122010;34017
122011;34162
122012;34162
122013;34162
122014;34162
122015;34162
122016;34162
122017;34162
122018;34285
122019;34285
122020;34285
123001;34199
123002;34199
123003;34199
123004;34199
123005;34199
123006;34199
123007;34199
123008;34199
123009;34199
123010;34199
123011;34199
123012;34199
123013;34199
123014;34199
123015;34199
123016;34199
123017;34063
123018;34063
123019;34063
123020;34063
124001;34206
124002;34206
124003;34206
124004;34052
124005;34052
124006;34052
124007;34052
124008;34225
124009;34225
124010;34225
124011;34089
124012;34089
124013;34226
124014;34226
124015;34092
124016;34092
124017;34170
124018;34167
125001;34098
125002;34054
125003;34097
125004;34097
125005;34141
125006;34141
125007;34141
125008;34302
125009;34302
